study,total_reliability,collection_days,latitude,hg_weight_wet,hg_weight_dry,hg_weight_overall,hg_kcal_wet,hg_kcal_dry,hg_kcal_overall,plant_weight_wet,plant_weight_dry,plant_weight_overall,animal_weight_wet,animal_weight_dry,animal_weight_overall,honey_weight_wet,honey_weight_dry,honey_weight_overall,plant_kcal_wet,plant_kcal_dry,plant_kcal_overall,animal_kcal_wet,animal_kcal_dry,animal_kcal_overall,honey_kcal_wet,honey_kcal_dry,honey_kcal_overall,protein_wet,protein_dry,protein_overall,lipid_wet,lipid_dry,lipid_overall,fiber_wet,fiber_dry,fiber_overall,sugar_wet,sugar_dry,sugar_overall,carb_diff_wet,carb_diff_dry,carb_diff_overall
Altman (1987),2,296,2,,,,,,,3.342844,2.546119,3.155729,96.48805,97.08705,96.58535,0.169106,0.366828,0.258916,3.48333,2.65,3.15,96.21667,96.7,96.41,0.3,0.65,0.44,44.41962,44.58268,44.41852,51.78239,51.80121,51.74083,0.85717,0.744191,0.830196,0.87004,1.151507,1.023042,2.070781,1.720412,1.987405
Arcand (1976),0,16,1,,,,,,,43.4109,39.8406375,41.65029,56.58915,60.15936,58.34971,0,0,0,32.00402,38.51425,35.47742,67.99598,61.48575,64.52258,0,0,0,29.60953,30.83914,30.26377,50.79114,48.35937,49.49726,1.752499,1.951098,1.858168,11.09849,5.157804,7.93761,6.748337,13.69259,10.44319
Bailey & Peacock (1988),1,33,0,43.57528,30.10319,41.8747,42.29012,26.50223,40.34497,72.52813,71.91139,72.45028,16.91396,28.08861,18.32453,10.55792,0,9.22519,74.34316,78.31301,74.83227,12.70218,21.68699,13.80915,12.95466,0,11.35858,12.99611,17.63237,13.55985,36.23542,42.13541,36.95282,2.377141,1.991296,2.330225,19.43728,5.313981,17.71998,28.95404,32.92694,29.43712
Barik (2015),1,19,2,,,,,,,13.79032258,29.86869385,23.83379635,86.20967742,44.56116102,67.22792608,0,25.57014513,8.93827757,12.7755,19.83186,19.45376,87.2245,32.81751,61.00015,0,47.35063,19.5461,64.05088,20.92299,41.10535,22.63427,13.38164,19.32208,0.653721,0.851286,0.91957,4.849518,59.70746,30.21371,7.811611,5.136622,8.439292
Berbesque & Marlowe (2009),0,,0,,,,,,,,,78.4769,,,19.67766,,,1.845436,,,61.49385,,,33.48665,,,5.019498,,,16.83574,,,21.07415,,,8.690686,,,28.72037,,,24.67906
Bose (1964) ,1,30,2,,,,,,,16.3187856,27.04470366,22.58878247,83.68121442,69.988538,75.676954,0,2.96675882,1.73426353,16.77383,21.3291158,19.27746,83.22617,75.200747,78.81531,0,3.4701372,1.907225,20.29614,20.053085,20.16255,65.55388,57.9409382,61.36951,0.052367,0.4488845,0.270309,0.046317,4.13029063,2.291031,14.0513,17.4268,15.90661
Endicott & Endicott (2008),1,93,0,,,78.247,,,61.83412,,,78.48038612,,,15.09389803,,,6.797061844,,,75.21482,,,14.46677,,,10.31841,,,16.20135,,,17.49855,,,4.586147,,,19.15254,,,42.56141
Hawkes et al (1982),2,66,5,,,,,,,43.03214,58.40654,51.26251,55.64164,41.02999,47.8196,1.326214,0.563466,0.917892,45.77597,50.65207,49.59528,51.26944,47.77868313,48.11454,2.954592,1.569242,2.290182,31.33557,24.45004,27.59221,28.17258,11.27135,18.98412,14.97917,25.69801,20.80653,8.523348,7.754595,8.105411,16.98934,30.826,24.51172
Hurtado & Hill (1990),1,185,1,,,96.78129,,,94.93377,,,37.82669,,,61.72049,,,1.182944,,,27.11679,,,70.58816,,,2.295044,,,32.49333,,,41.22243,,,1.662223,,,6.646101,,,17.97592
Kaplan et al (1985),2,81,5,,,,,,,,,27.54161997,,,62.88549753,,,9.572882,,,17.55529,,,60.74402,,,21.70069,,,36.91401,,,15.56011,,,9.736245,,,25.86031,,,11.92932
Lee (1979),1,28,4,,,,,,,,,69,,,31,,,0,,,79.91515,,,20.08485,,,0,,,12.46989,,,61.68598,,,2.142469,,,4.092831,,,19.60883
Marlowe (2010),1,,0,,,,,,,85,,64.7,14,,27.1,1,,8.1,70.99846,,49.32566,26.02983,,34.29211,2.97171,,16.38223,14.24454,,16.53275,17.20812,,20.67529,12.46426,,9.126812,36.489,,31.27312,19.59408,,22.39203
Meehan (1982),2,109,2,74.16723,72.71515027,73.48603,81.88295,78.44758,80.37203,45.04872,33.9522,39.84313,54.67936,65.54518,59.77672,0.271924,0.502616,0.380146,51.37705,48.5379,50.08504,48.30367,50.82488,49.45099,0.319284,0.637219,0.43967,36.65999,37.89997,37.22378,36.19764,38.23745,37.1251,1.652906,1.386338,1.531703,5.574028,4.727796,5.189264,19.91543,17.74845,18.93015
Politis (2007),1,68,0,88.16462,89.7351,88.92509,88.16462,89.7351,88.92509,88.127552,72.65938,80.61,11.765788,15.395387,13.53,0.1066608,11.945233,5.86,86.45562,62.41956,74.29141,13.2389,6.0909,9.621423,0.30548,31.48954,16.08717,15.67525,8.293233962,11.31989,13.42999,2.610251,12.28116,3.850687,3.564754,3.526991,22.53498,46.54709,33.18862,44.50909,38.98467,39.68334
Wilmsen (1982),0,,4,93.18504,98.51904,95.3271,95.12985,98.48207,96.48714,83.82631,90.14457,86.36364,16.17369,9.220733,13.63636,0,0,0,83.69429,87.93415,85.41098,16.30571,12.06585,14.58902,0,0,0,11.52416,10.48897,11.10447,45.46653,45.53658,45.49493,3.110968,3.258478,3.170771,18.07049,18.57159,18.27364,21.82786,22.14438,21.95619
