"total_reliability","collection_days","latitude","hg_weight_wet","hg_weight_dry","hg_weight_overall","hg_kcal_wet","hg_kcal_dry","hg_kcal_overall","plant_weight_wet","plant_weight_dry","plant_weight_overall","animal_weight_wet","animal_weight_dry","animal_weight_overall","honey_weight_wet","honey_weight_dry","honey_weight_overall","plant_kcal_wet","plant_kcal_dry","plant_kcal_overall","animal_kcal_wet","animal_kcal_dry","animal_kcal_overall","honey_kcal_wet","honey_kcal_dry","honey_kcal_overall","protein_wet","protein_dry","protein_overall","lipid_wet","lipid_dry","lipid_overall","fiber_wet","fiber_dry","fiber_overall","sugar_wet","sugar_dry","sugar_overall","carb_diff_wet","carb_diff_dry","carb_diff_overall"
"2","296","2","  ","  ","0.42 0.87 0.97","  ","  ","0.4 0.81 0.96","0.03","0.03","0.03","0.96","0.97","0.97","0","0","0","0.03","0.03","0.03","0.96","0.97","0.96","0","0.01","0","0.44","0.45","0.44","0.52","0.52","0.52","0.01","0.01","0.01","0.01","0.01","0.01","0.02","0.02","0.02"
"0","16","1","  ","  ","0.42 0.83 0.97","  ","  ","0.4 0.82 0.96","0.43","0.4","0.42","0.57","0.6","0.58","0","0","0","0.32","0.39","0.35","0.68","0.61","0.65","0","0","0","0.3","0.31","0.3","0.51","0.48","0.49","0.02","0.02","0.02","0.11","0.05","0.08","0.07","0.14","0.1"
"1","33","0","0.44","0.3","0.42","0.42","0.27","0.4","0.73","0.72","0.72","0.17","0.28","0.18","0.11","0","0.09","0.74","0.78","0.75","0.13","0.22","0.14","0.13","0","0.11","0.13","0.18","0.14","0.36","0.42","0.37","0.02","0.02","0.02","0.19","0.05","0.18","0.29","0.33","0.29"
"1","19","2","  ","  ","0.42 0.8 0.97","  ","  ","0.4 0.82 0.96","0.14","0.3","0.24","0.86","0.45","0.67","0","0.26","0.09","0.13","0.2","0.19","0.87","0.33","0.61","0","0.47","0.2","0.64","0.21","0.41","0.23","0.13","0.19","0.01","0.01","0.01","0.05","0.6","0.3","0.08","0.05","0.08"
"0","  ","0","  ","  ","0.42 0.8 0.97","  ","  ","0.4 0.78 0.96","0.03 0.58 0.88","0.03 0.54 0.9","0.78","0.12 0.43 0.96","0.09 0.44 0.97","0.2","0 0.01 0.11","0 0.03 0.26","0.02","0.03 0.52 0.86","0.03 0.49 0.88","0.61","0.13 0.49 0.96","0.12 0.44 0.97","0.33","0 0.02 0.13","0 0.11 0.47","0.05","0.12 0.25 0.64","0.08 0.23 0.45","0.17","0.13 0.35 0.66","0.03 0.33 0.58","0.21","0 0.05 0.15","  ","0.09","0 0.14 0.36","0.01 0.12 0.6","0.29","0.02 0.2 0.45","0.02 0.24 0.39","0.25"
"1","30","2","  ","  ","0.42 0.8 0.97","  ","  ","0.4 0.86 0.96","0.16","0.27","0.23","0.84","0.7","0.76","0","0.03","0.02","0.17","0.21","0.19","0.83","0.75","0.79","0","0.03","0.02","0.2","0.2","0.2","0.66","0.58","0.61","0","0","0","0","0.04","0.02","0.14","0.17","0.16"
"1","93","0","  ","  ","0.78","  ","  ","0.62","0.03 0.53 0.88","0.03 0.52 0.9","0.78","0.12 0.43 0.96","0.09 0.45 0.97","0.15","0 0.01 0.11","0 0.05 0.26","0.07","0.03 0.53 0.86","0.03 0.52 0.88","0.75","0.13 0.45 0.96","0.06 0.39 0.97","0.14","0 0.02 0.13","0 0.13 0.47","0.1","0.12 0.31 0.64","0.08 0.23 0.45","0.16","0.13 0.35 0.66","0.03 0.34 0.58","0.17","0 0.05 0.15","  ","0.05","0 0.13 0.36","0.01 0.14 0.6","0.19","0.02 0.19 0.45","0.02 0.23 0.39","0.43"
"2","66","5","  ","  ","0.42 0.84 0.97","  ","  ","0.4 0.82 0.96","0.43","0.58","0.51","0.56","0.41","0.48","0.01","0.01","0.01","0.46","0.51","0.5","0.51","0.48","0.48","0.03","0.02","0.02","0.31","0.24","0.28","0.28","0.11","0.19","0.15","0.26","0.21","0.09","0.08","0.08","0.17","0.31","0.25"
"1","185","1","  ","  ","0.97","  ","  ","0.95","0.03 0.54 0.88","0.03 0.47 0.9","0.38","0.12 0.42 0.96","0.09 0.46 0.97","0.62","0 0.11","0 0.05 0.26","0.01","0.03 0.55 0.86","0.03 0.4 0.88","0.27","0.13 0.58 0.96","0.06 0.49 0.97","0.71","0 0.01 0.13","0 0.05 0.47","0.02","0.12 0.31 0.64","0.08 0.28 0.45","0.32","0.13 0.36 0.66","0.03 0.36 0.58","0.41","0 0.04 0.15","  ","0.02","0 0.14 0.36","0.01 0.16 0.6","0.07","0.02 0.16 0.45","0.02 0.15 0.39","0.18"
"2","81","5","  ","  ","0.42 0.78 0.97","  ","  ","0.4 0.79 0.96","0.03 0.47 0.88","0.03 0.42 0.9","0.28","0.12 0.56 0.96","0.09 0.47 0.97","0.63","0 0.01 0.11","0 0.04 0.26","0.1","0.03 0.44 0.86","0.03 0.4 0.88","0.18","0.13 0.48 0.96","0.06 0.48 0.97","0.61","0 0.01 0.13","0 0.09 0.47","0.22","0.12 0.28 0.64","0.08 0.24 0.45","0.37","0.13 0.35 0.66","0.03 0.38 0.58","0.16","0 0.04 0.15","  ","0.1","0 0.11 0.36","0.01 0.14 0.6","0.26","0.02 0.17 0.45","0.02 0.17 0.39","0.12"
